FIRE_NO,FIRE_YEAR,RSPNS_TYPC,IGN_DATE,FR_T_DTE,FIRESTATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCDNT_NM,GEO_DESC,LATITUDE,LONGITUDE,SIZE_HA,FIRE_URL,FCODE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
G62150,2023,Full,20230722174232,,Under Control,Lightning,4,6,2150,Fire,2023 Holdover G62150,Clearwater FSR,55.8255,-123.1873,375.53,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G62150,JA70003000,,15036542,1175800.8664000002,1206865.6459000055
G72197,2023,Full,20230706125917,,Under Control,Lightning,4,7,2197,Fire,2023 Holdover G72197,Gaylard Creek,55.9988,-122.3753,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G72197,JA70003000,,15036543,1225524.0300999996,1228493.3271999946
G92498,2023,Full,20230731140900,,Under Control,Lightning,4,9,2498,Fire,2023 Holdover Ekwan Tower,5mi NE of Ekwan Tower,58.5786,-120.9371,275054.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92498,JA70003000,,15036544,1294319.777799999,1520932.958399999
G92594,2023,,20230807105035,,Under Control,Lightning,4,9,2594,Fire,2023 Holdover G92594,Liard river,59.9374,-127.762,316.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92594,JA70003000,,15036545,901256.0603000007,1662805.6619000002
G92729,2023,,20230813150739,,Under Control,Lightning,4,9,2729,Fire,2023 Holdover G92729,Tsea Lake,59.2619,-122.4847,125,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92729,JA70003000,,15036546,1200668.2360999996,1591443.6161999954
G92940,2023,,20230824164028,,Under Control,Lightning,4,9,2940,Fire,2023 Holdover G92940,2km West of tommy creek,59.2838,-121.8901,71002.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92940,JA70003000,,15036547,1234433.7622,1595709.5629999945
G92947,2023,Monitor,20230825154653,,Under Control,Lightning,4,9,2947,Fire,2023 Holdover G92947,Davie Creek,59.2269,-128.0591,7301.75,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92947,JA70003000,,15036548,882312.9775999993,1584286.9425000022
G62952,2023,,20230826085944,,Under Control,Lightning,4,6,2952,Fire,2023 Holdover G62952,Head Lake,55.5756,-123.5436,205.06,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G62952,JA70003000,,15036549,1154511.3951999987,1178158.9862000002
G52955,2023,,20230826094407,,Under Control,Lightning,4,5,2955,Fire,2023 Holdover Bivouac Creek,Bivouac Creek,55.0552,-125.641,1590.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G52955,JA70003000,,15036550,1022878.4043000011,1117449.3969
G63092,2023,,20230831111847,,Under Control,Lightning,4,6,3092,Fire,2023 Holdover G63092,Doucette Creek,55.9044,-123.1021,58.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G63092,JA70003000,,15036551,1180765.0419999992,1215875.604000003
G93102,2023,Monitor,20230901090858,,Under Control,Lightning,4,9,3102,Fire,2023 Holdover G93102,Petitot River,59.8685,-121.9212,6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G93102,JA70003000,,15036552,1228920.5767,1660516.1055000015
G93103,2023,Monitor,20230901093750,,Under Control,Lightning,4,9,3103,Fire,2023 Holdover G93103,Shekilie RIver,59.2495,-120.4344,11.19,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G93103,JA70003000,,15036553,1317621.5569000002,1597574.5558999944
G93120,2023,Monitor,20230901181315,,Under Control,Lightning,4,9,3120,Fire,2023 Holdover G93120,Boreal Lake,58.7596,-127.7105,700,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G93120,JA70003000,,15036554,900973.2188000014,1531749.4528000033
G83130,2023,,20230902141955,,Under Control,Lightning,4,8,3130,Fire,2023 Holdover G83130,,58.2204,-121.7444,673,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G83130,JA70003000,,15036555,1249853.4198999999,1478006.9968999987
G93145,2023,Monitor,20230902171927,,Under Control,Lightning,4,9,3145,Fire,2023 Holdover G93145,11km South of Alaska Hwy.,58.5577,-124.2337,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G93145,JA70003000,,15036556,1102818.4066000008,1509353.3918999997
G93156,2023,,20230903165347,,Under Control,Lightning,4,9,3156,Fire,2023 Holdover G93156,3 Miles South of Klendo Creek,58.8513,-123.9691,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G93156,JA70003000,,15036557,1117276.8501999988,1542450.8617999991
