X,Y,FIRE_NUM,FIRE_YEAR,RSPNCE_TYP,IGNITN_DT,FIREOUT_DT,STATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCIDNT_NM,GEOGRAPHIC,LATITUDE,LONGITUDE,CURRENT_SZ,FIRE_LINK,FEATURE_CD,OBJECTID
1200601.2023,994911.972100004,G13407,2023,Full,2023/10/08,2023/10/10,Out,Person,4,1,3407,Fire,G13407,West Creek Dr.,53.9190,-122.9376,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G13407,0.0000000000,10209891
1738849.0348,542490.428500001,N12330,2023,Full,2023/07/29,2023/07/30,Out,Person,6,1,2330,Fire,,Hogg Creek,49.4183,-115.7890,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N12330,0.0000000000,10209892
1123493.6238,995048.542800004,G40745,2023,Full,2023/06/12,2023/06/12,Out,Person,4,4,745,Fire,,Stoney Creek,53.9444,-124.1140,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40745,0.0000000000,10209893
1086508.6245,1070805.366,G50126,2023,Full,2023/04/29,2023/05/01,Out,Person,4,5,126,Fire,,NW Stuart Lake Park,54.6305,-124.6567,0.200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50126,0.0000000000,10209894
1130255.5112,989137.661199999,G40097,2023,Full,2023/04/26,2023/04/27,Out,Person,4,4,97,Fire,G40097,Langston Rd,53.8898,-124.0133,0.410,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40097,0.0000000000,10209895
1315852.3575,461850.7337,V10331,2023,Full,2023/05/15,2023/05/17,Out,Person,2,1,331,Fire,PIERCE LAKE TRAIL,NW of Pierce Lake,49.0862,-121.6783,1.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10331,0.0000000000,10209896
1263630.534,897716.4179,C10096,2023,Modified,2023/04/26,2023/04/27,Out,Person,7,1,96,Fire,C10096,N of Lighting Creek,53.0211,-122.0597,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10096,0.0000000000,10209897
1335224.7873,1234816.37680001,G70141,2023,Full,2023/04/29,2023/05/07,Out,Person,4,7,141,Fire,,Tower Lake,55.9928,-120.6102,4.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70141,0.0000000000,10209898
1742241.7982,558682.502699999,N10598,2023,Full,2023/06/03,2023/06/04,Out,Person,6,1,598,Fire,Isadore Canyon,Isidore Canyon,49.5581,-115.7104,0.045,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10598,0.0000000000,10209899
1191151.1884,564182.342599996,V30293,2023,Full,2023/05/13,2023/06/29,Out,Person,2,3,293,Fire,SHOVELNOSE CREEK,20 km Squamish Valley FSR,50.0611,-123.3297,38.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30293,0.0000000000,10209900
1495723.4396,635385.380599997,K42454,2023,Full,2023/08/03,2023/08/12,Out,Person,5,4,2454,Fire,,Trinity Creek,50.5128,-118.9957,1.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42454,0.0000000000,10209901
1399014.3079,648974.201199999,K20636,2023,Full,2023/06/05,2023/06/07,Out,Person,5,2,636,Fire,,Paul Creek,50.7120,-120.3403,3.400,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20636,0.0000000000,10209902
1130013.1852,445795.041600001,V60328,2023,Full,2023/05/15,2023/05/16,Out,Person,2,6,328,Fire,JUMP CREEK,E of Jump Lake,49.0138,-124.2248,0.100,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60328,0.0000000000,10209903
1316076.2243,1177584.1694,G73467,2023,Monitor,2023/11/03,,Under Control,Person,4,7,3467,Fire,Wasp Lake,Wasp Lake,55.4941,-120.9821,0.200,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73467,0.0000000000,10209904
1382085.9511,622180.061299998,K23471,2023,Full,2023/11/15,2023/12/05,Out,Person,5,2,3471,Fire,K23471,Neal Creek FSR,50.4839,-120.6084,0.080,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K23471,0.0000000000,10209905
1216108.8779,978048.256199995,G10177,2023,Full,2023/05/02,2023/05/11,Out,Person,4,1,177,Fire,,Fraser River,53.7618,-122.7132,2.000,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10177,0.0000000000,10209906
1708128.0375,624913.8459,N22692,2023,Full,2023/08/11,2023/08/14,Out,Person,6,2,2692,Fire,White Tail Lake,Whitetail Lake,50.1913,-116.0488,0.010,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N22692,0.0000000000,10209907
1334699.6545,719463.663100006,C42827,2023,Full,2023/08/18,2023/08/21,Out,Person,7,4,2827,Fire,C42827,2.8km N of Tin Cup Lake,51.3859,-121.1816,0.280,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C42827,0.0000000000,10209908
1439586.8214,663136.027600005,K21056,2023,Full,2023/07/01,2023/07/04,Out,Person,5,2,1056,Fire,,Loakin Creek,50.8081,-119.7500,0.150,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21056,0.0000000000,10209909
1285967.0533,1197521.52060001,G73115,2023,Full,2023/09/01,2023/09/06,Out,Person,4,7,3115,Fire,G73115,Wabi Creek,55.6905,-121.4383,0.410,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73115,0.0000000000,10209910
1492325.4173,640632.255700004,K42837,2023,Full,2023/08/18,2023/08/20,Out,Person,5,4,2837,Fire,,Brash Creek,50.5627,-119.0361,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42837,0.0000000000,10209911
